Date,Number of pages written
6/10,0
6/11,0
6/12,0
6/13,3.75
6/14,0
6/15,0
6/16,0
6/17,0
6/18,0
6/19,0
6/20,0
6/21,0
6/22,0
6/23,0
6/24,0
6/25,3
6/26,3
6/27,1.5
6/28,0
6/29,3.5
6/30,2.5
7/1,1.5
7/2,1.5
7/3,1
7/4,2.5
7/5,1
7/6,2.5
7/7,0
7/8,2.25
7/9,0
7/10,0
7/11,0
7/12,0
7/13,0
7/14,0
7/15,4.5
7/16,1.5
7/17,0
7/18,0
7/19,0
7/20,0
7/21,0
7/22,2.25
7/23,2
7/24,2.25
7/25,1
7/26,0.5
7/27,0.25
7/28,0
7/29,0
7/30,0
7/31,0.5
8/1,0
8/2,0
8/3,2.5
8/4,0
8/5,1.25
8/6,0
8/7,0
8/8,0
8/9,0
8/10,2.5
8/11,0
8/12,0
8/13,1
8/14,2
8/15,0
8/16,2
8/17,2
8/18,0
8/19,0
8/20,1
8/21,1
8/22,0.25
8/23,0.75
8/24,0
8/25,0
8/26,0
8/27,0
8/28,0
8/29,0
8/30,0.25
8/31,0
9/1,0.5
9/2,0.25
9/3,0
9/4,0
9/5,0
9/6,0.5
9/7,0
9/8,0
9/9,0
9/10,0
9/11,1.5
9/12,0
9/13,0
9/14,0
9/15,1
9/16,0
9/17,1
9/18,0
9/19,1
9/20,0
9/21,0
9/22,0
9/23,0
9/24,0
9/25,0
9/26,3
9/27,0
9/28,0
9/29,0
9/30,0
10/1,0
10/2,0
10/3,0
10/4,0
10/5,0
10/6,0
10/7,0
10/8,0
10/9,0
10/10,0
10/11,0
10/12,0
10/13,0
10/14,0
10/15,0
10/16,0
10/17,0
10/18,0
10/19,0
10/20,0
10/21,0
10/22,0
10/23,0
10/24,0
10/25,0
10/26,0
10/27,0
10/28,0
10/29,0
10/30,0
10/31,0
11/1,0
11/2,0
11/3,0
11/4,0
11/5,0
11/6,0
11/7,0
11/8,0
11/9,0
11/10,0
11/11,0
11/12,0
11/13,0
11/14,0
11/15,0
11/16,0
11/17,0
11/18,2.5
11/19,1.5
11/20,0
11/21,0
11/22,0
11/23,0
11/24,0
11/25,2
11/26,0
11/27,0
11/28,0
11/29,0
11/30,0
12/1,0
12/2,0
12/3,0
12/4,0
12/5,0
12/6,3
12/7,0
12/8,0
12/9,0
12/10,0
12/11,0
12/12,0
12/13,0
12/14,0
12/15,0
12/16,0
12/17,3
12/18,1
12/19,1.5
12/20,0
12/21,0
12/22,0
12/23,0
12/24,0
12/25,3.5
12/26,0
12/27,0.5
12/28,0
12/29,0
12/30,0
12/31,0
1/1,0
1/2,1
1/3,0
1/4,3
1/5,0
1/6,0
1/7,0
1/8,0
1/9,0
1/10,0
1/11,0
1/12,0
1/13,0
1/14,0
1/15,0
1/16,0
1/17,0
1/18,0
1/19,1
1/20,9
1/21,1
1/22,0
1/23,1
1/24,0
1/25,3.5
1/26,0
1/27,0
1/28,0
1/29,9.5
1/30,5.5
1/31,0
2/1,0
2/2,0
2/3,0
2/4,0
2/5,0
2/6,3
2/7,1
2/8,2
2/9,0
2/10,0
2/11,3.5
2/12,0
2/13,0
2/14,3
2/15,0
2/16,0
2/17,0
2/18,4
2/19,0
2/20,2.5
2/21,0
2/22,0
2/23,0
2/24,0
2/25,0.5
2/26,0
2/27,0
2/28,1
3/1,2
3/2,0
3/3,2.5
3/4,0
3/5,0
3/6,0
3/7,0
3/8,0
3/9,0
3/10,0
3/11,0
3/12,0
3/13,0
3/14,0
3/15,0
3/16,0
3/17,0
3/18,0
3/19,0
3/20,0
3/21,0
3/22,0
3/23,0
3/24,0
3/25,0
3/26,0
3/27,0
3/28,0
3/29,0
3/30,14
3/31,0
4/1,2
4/2,0
4/3,0
4/4,5
4/5,3
4/6,12.5
4/7,4
4/8,5.5
4/9,2
4/10,3.5
4/11,0
4/12,1.5
4/13,0
4/14,2.5
4/15,1
4/16,1
4/17,2
4/18,2
4/19,3
4/20,0
4/21,1.5
4/22,0
4/23,1.5
4/24,0
4/25,0
4/26,0
4/27,0
4/28,0
4/29,1.5
4/30,0
5/1,0
5/2,0
5/3,0
5/4,0
5/5,0
5/6,0
5/7,0
5/8,0
5/9,0
5/10,0
5/11,0
5/12,0
5/13,0
5/14,0
5/15,0
5/16,0
5/17,3
5/18,0
5/19,2
5/20,0
5/21,0
5/22,0
5/23,1.5
5/24,0
5/25,0.5
5/26,0
5/27,7
5/28,0
5/29,0
5/30,0
5/31,2
6/1,0
6/2,1
6/3,0
6/4,0
6/5,10
6/6,0
6/7,0
6/8,0
6/9,0
